sourceRow,id,tcg,name,edition,status,source,url,method,note
992,stock-magic-the-gathering-boseiju-who-endures-v-2-kamigawa-neon-dynasty-extras-ingles-nonfoil,Magic The Gathering,"Boseiju, Who Endures (V.2)",Kamigawa: Neon Dynasty: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Boseiju%2C+Who+Endures&format=image&version=normal&set=neo,named_exact_image_endpoint,
2003,stock-magic-the-gathering-nethergoyf-modern-horizons-3-ingles-nonfoil,Magic The Gathering,Nethergoyf,Modern Horizons 3,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Nethergoyf&format=image&version=normal&set=mh3,named_exact_image_endpoint,
2527,stock-magic-the-gathering-the-one-ring-the-lord-of-the-rings-tales-of-middle-earth-ingles-nonfoil,Magic The Gathering,The One Ring,The Lord of the Rings: Tales of Middle-earth,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=The+One+Ring&format=image&version=normal&set=ltr,named_exact_image_endpoint,
813,stock-riftbound-irelia-fervent-v-3-showcase-spiritforged-ingles-nonfoil,Riftbound,"Irelia, Fervent (V.3 - Showcase)",Spiritforged,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/SFD-225/medium,scrydex_code_image_endpoint,
829,stock-magic-the-gathering-replenish-urza-s-destiny-japones-nonfoil,Magic The Gathering,Replenish,Urza's Destiny,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Replenish&format=image&version=normal&set=uds,named_exact_image_endpoint,
1929,stock-magic-the-gathering-verdant-catacombs-v-1-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Verdant Catacombs (V.1),Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Verdant+Catacombs&format=image&version=normal&set=mh2,named_exact_image_endpoint,
2830,stock-magic-the-gathering-grief-modern-horizons-2-extras-espanol-nonfoil,Magic The Gathering,Grief,Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Grief&format=image&version=normal&set=mh2,named_exact_image_endpoint,
1669,stock-magic-the-gathering-atraxa-grand-unifier-v-1-phyrexia-all-will-be-one-extras-ingles-nonfoil,Magic The Gathering,"Atraxa, Grand Unifier (V.1)",Phyrexia: All Will Be One: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Atraxa%2C+Grand+Unifier&format=image&version=normal&set=one,named_exact_image_endpoint,
865,stock-magic-the-gathering-null-rod-weatherlight-japones-nonfoil,Magic The Gathering,Null Rod,Weatherlight,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Null+Rod&format=image&version=normal&set=wth,named_exact_image_endpoint,
2708,stock-magic-the-gathering-agatha-s-soul-cauldron-wilds-of-eldraine-espanol-nonfoil,Magic The Gathering,Agatha's Soul Cauldron,Wilds of Eldraine,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Agatha%27s+Soul+Cauldron&format=image&version=normal&set=woe,named_exact_image_endpoint,
