sourceRow,cardName,edition,tcg,language,quantity,saleValue,status,method,matchedGroupId,matchedName,matchedEdition,matchedLanguage,matchedQuantity,note
249,Phyrexian Crusader,Mirrodin Besieged,Magic The Gathering,Español,1.0,7.17,unmatched,unmatched,,,,,,No se encontró compra compatible.
490,Charming Scoundrel,Wilds of Eldraine,Magic The Gathering,Inglés,1.0,1.07,unmatched,unmatched,,,,,,No se encontró compra compatible.
541,Street Wraith,Future Sight,Magic The Gathering,Español,1.0,0.5,matched,flexible_name_only,stock-magic-the-gathering-street-wraith-dominaria-remastered-extras-ingles-nonfoil,Street Wraith,Dominaria Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
468,"Sigarda, Champion of Light",Innistrad: Midnight Hunt,Magic The Gathering,Español,1.0,1.27,unmatched,unmatched,,,,,,No se encontró compra compatible.
515,"Kaito, Dancing Shadow",Phyrexia: All Will Be One,Magic The Gathering,Español,1.0,0.64,unmatched,unmatched,,,,,,No se encontró compra compatible.
516,Depopulate,Streets of New Capenna,Magic The Gathering,Español,1.0,0.64,unmatched,unmatched,,,,,,No se encontró compra compatible.
248,Phyrexian Crusader,Mirrodin Besieged,Magic The Gathering,Español,1.0,7.17,unmatched,unmatched,,,,,,No se encontró compra compatible.
281,Grove of the Burnwillows,From the Vault: Realms,Magic The Gathering,Inglés,3.0,5.89,matched,flexible_name_only,stock-magic-the-gathering-grove-of-the-burnwillows-future-sight-chino-s-nonfoil,Grove of the Burnwillows,Future Sight,Chino-S,3.0,Coincidencia flexible por TCG + nombre; revisar edición.
478,Guardian of the Guildpact,Dissension,Magic The Gathering,Español,2.0,1.19,unmatched,unmatched,,,,,,No se encontró compra compatible.
330,Protean Hulk,Dissension,Magic The Gathering,Español,1.0,4.21,unmatched,unmatched,,,,,,No se encontró compra compatible.
7,"Atraxa, Grand Unifier",Phyrexia: All Will Be One,Magic The Gathering,Inglés,4.0,105.4,matched,flexible_ignore_language_variant,stock-magic-the-gathering-atraxa-grand-unifier-phyrexia-all-will-be-one-espanol-nonfoil,"Atraxa, Grand Unifier",Phyrexia: All Will Be One,Español,4.0,Coincidencia flexible ignorando idioma y variante.
31,Marsh Flats,Modern Horizons 2,Magic The Gathering,Inglés,4.0,52.83,matched,flexible_name_only_multiple,stock-magic-the-gathering-marsh-flats-modern-horizons-2-extras-ingles-nonfoil,Marsh Flats,Modern Horizons 2: Extras,Inglés,4.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
35,Goryo's Vengeance,Betrayers of Kamigawa,Magic The Gathering,Español,4.0,47.54,matched,flexible_name_only,stock-magic-the-gathering-goryo-s-vengeance-commander-duskmourn-house-of-horror-extras-ingles-nonfoil,Goryo's Vengeance,Commander: Duskmourn: House of Horror: Extras,Inglés,4.0,Coincidencia flexible por TCG + nombre; revisar edición.
567,"Lonis, Cryptozoologist",Modern Horizons 2,Magic The Gathering,Inglés,1.0,0.22,unmatched,unmatched,,,,,,No se encontró compra compatible.
297,Noxious Ghoul,Legions,Magic The Gathering,Español,1.0,5.21,unmatched,unmatched,,,,,,No se encontró compra compatible.
60,Hallowed Fountain,Dissension,Magic The Gathering,Español,4.0,31.98,overdrawn,exact,stock-magic-the-gathering-hallowed-fountain-dissension-espanol-nonfoil,Hallowed Fountain,Dissension,Español,0.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
255,Yavimaya Coast,Ninth Edition,Magic The Gathering,Español,3.0,6.78,matched,flexible_name_only_multiple,stock-magic-the-gathering-yavimaya-coast-dominaria-united-extras-japones-nonfoil,Yavimaya Coast,Dominaria United: Extras,Japonés,3.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
346,Yavimaya Coast,Ninth Edition,Magic The Gathering,Inglés,1.0,3.4,matched,flexible_name_only_multiple,stock-magic-the-gathering-yavimaya-coast-apocalypse-japones-nonfoil,Yavimaya Coast,Apocalypse,Japonés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
29,Steam Vents,Ravnica Remastered,Magic The Gathering,Inglés,4.0,54.13,overdrawn,exact,stock-magic-the-gathering-steam-vents-ravnica-remastered-ingles-nonfoil,Steam Vents,Ravnica Remastered,Inglés,2.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
533,Marionette Apprentice,Modern Horizons 3,Magic The Gathering,Inglés,1.0,0.54,matched,flexible_name_only,stock-magic-the-gathering-marionette-apprentice-modern-horizons-3-extras-ingles-nonfoil,Marionette Apprentice,Modern Horizons 3: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
194,Stomping Ground,Gatecrash,Magic The Gathering,Inglés,1.0,10.17,overdrawn,exact,stock-magic-the-gathering-stomping-ground-gatecrash-ingles-nonfoil,Stomping Ground,Gatecrash,Inglés,0.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
328,Jet Medallion,Modern Horizons 3,Magic The Gathering,Inglés,1.0,4.25,unmatched,unmatched,,,,,,No se encontró compra compatible.
81,Godless Shrine,Gatecrash,Magic The Gathering,Italiano,3.0,23.15,overdrawn,flexible_name_only,stock-magic-the-gathering-godless-shrine-ravnica-remastered-extras-ingles-nonfoil,Godless Shrine,Ravnica Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
202,Godless Shrine,Gatecrash,Magic The Gathering,Italiano,1.0,9.25,overdrawn,flexible_name_only,stock-magic-the-gathering-godless-shrine-ravnica-remastered-extras-ingles-nonfoil,Godless Shrine,Ravnica Remastered: Extras,Inglés,0.0,Coincidencia flexible por TCG + nombre; revisar edición.
300,Archdruid's Charm,Murders at Karlov Manor: Promos,Magic The Gathering,Inglés,1.0,5.17,unmatched,unmatched,,,,,,No se encontró compra compatible.
126,Chord of Calling,Prerelease Promos,Magic The Gathering,Inglés,4.0,16.17,matched,flexible_name_only,stock-magic-the-gathering-chord-of-calling-ravnica-remastered-extras-ingles-nonfoil,Chord of Calling,Ravnica Remastered: Extras,Inglés,4.0,Coincidencia flexible por TCG + nombre; revisar edición.
419,Headless Rider,Innistrad: Crimson Vow: Promos,Magic The Gathering,Español,1.0,2.17,unmatched,unmatched,,,,,,No se encontró compra compatible.
180,Phyrexian Fleshgorger,The Brothers' War,Magic The Gathering,Español,2.0,11.12,overdrawn,exact,stock-magic-the-gathering-phyrexian-fleshgorger-the-brothers-war-espanol-nonfoil,Phyrexian Fleshgorger,The Brothers' War,Español,1.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
75,Roaming Throne,The Lost Caverns of Ixalan: Promos,Magic The Gathering,Inglés,1.0,24.25,unmatched,unmatched,,,,,,No se encontró compra compatible.
375,Emberheart Challenger,Bloomburrow: Promos,Magic The Gathering,Inglés,1.0,2.97,unmatched,unmatched,,,,,,No se encontró compra compatible.
207,Caretaker's Talent,Bloomburrow,Magic The Gathering,Español,1.0,9.17,matched,flexible_ignore_language_variant,stock-magic-the-gathering-caretaker-s-talent-bloomburrow-ingles-nonfoil,Caretaker's Talent,Bloomburrow,Inglés,1.0,Coincidencia flexible ignorando idioma y variante.
246,Tibalt's Trickery,Kaldheim: Promos,Magic The Gathering,Inglés,1.0,7.17,unmatched,unmatched,,,,,,No se encontró compra compatible.
